,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6,wifi7,room
0,-64,-56,-61,-66,-71,-82,-81,1
4,-63,-65,-60,-63,-77,-81,-87,1
5,-64,-55,-63,-66,-76,-88,-83,1
8,-65,-60,-59,-63,-76,-86,-82,1
10,-67,-61,-62,-67,-77,-83,-91,1
14,-61,-59,-65,-63,-74,-89,-87,1
22,-63,-56,-63,-65,-72,-82,-89,1
25,-66,-59,-64,-68,-68,-97,-83,1
28,-67,-57,-64,-71,-75,-89,-87,1
33,-63,-57,-59,-67,-71,-82,-93,1
34,-63,-57,-62,-65,-76,-82,-88,1
40,-66,-59,-65,-68,-75,-88,-84,1
42,-69,-61,-62,-62,-75,-85,-84,1
43,-68,-58,-65,-65,-76,-87,-82,1
45,-68,-58,-65,-67,-83,-89,-86,1
48,-65,-56,-63,-71,-77,-89,-85,1
53,-66,-69,-63,-69,-79,-88,-86,1
60,-63,-53,-60,-68,-67,-87,-85,1
63,-64,-54,-61,-63,-65,-88,-86,1
68,-63,-57,-65,-69,-77,-81,-85,1
72,-66,-58,-56,-66,-79,-86,-93,1
82,-62,-57,-60,-65,-72,-83,-87,1
84,-65,-60,-62,-68,-69,-84,-89,1
89,-68,-63,-65,-74,-81,-84,-89,1
93,-73,-61,-65,-65,-77,-89,-90,1
101,-69,-59,-59,-65,-78,-86,-87,1
104,-64,-56,-69,-64,-73,-89,-85,1
108,-65,-54,-57,-66,-70,-82,-80,1
112,-59,-57,-62,-61,-68,-80,-83,1
117,-65,-58,-67,-67,-70,-87,-84,1
121,-61,-54,-56,-59,-68,-82,-83,1
123,-62,-56,-56,-61,-68,-81,-86,1
128,-63,-55,-62,-63,-70,-80,-75,1
130,-62,-58,-57,-62,-72,-81,-81,1
132,-65,-50,-51,-57,-70,-80,-79,1
143,-63,-57,-65,-71,-75,-82,-86,1
145,-63,-58,-65,-66,-78,-81,-88,1
163,-60,-56,-58,-65,-70,-80,-87,1
167,-63,-58,-56,-66,-73,-87,-83,1
169,-62,-51,-54,-59,-64,-77,-81,1
