,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6,wifi7,room
1,-68,-57,-61,-65,-71,-85,-85,1
2,-63,-60,-60,-67,-76,-85,-84,1
3,-61,-60,-68,-62,-77,-90,-80,1
6,-65,-61,-65,-67,-69,-87,-84,1
7,-61,-63,-58,-66,-74,-87,-82,1
9,-62,-60,-66,-68,-80,-86,-91,1
11,-65,-59,-61,-67,-72,-86,-81,1
12,-63,-57,-61,-65,-73,-84,-84,1
13,-66,-60,-65,-62,-70,-85,-83,1
15,-67,-60,-59,-61,-71,-86,-91,1
16,-63,-56,-60,-62,-70,-84,-91,1
17,-60,-54,-59,-65,-73,-83,-84,1
18,-60,-58,-60,-61,-73,-84,-88,1
19,-62,-59,-63,-64,-70,-84,-84,1
20,-63,-59,-64,-66,-72,-84,-90,1
21,-65,-59,-66,-65,-68,-82,-85,1
23,-67,-60,-66,-65,-75,-86,-87,1
24,-63,-57,-67,-66,-79,-86,-89,1
26,-65,-61,-64,-68,-77,-86,-89,1
27,-66,-57,-65,-69,-78,-85,-85,1
29,-65,-62,-62,-65,-77,-84,-85,1
30,-61,-54,-60,-61,-74,-87,-83,1
31,-65,-53,-60,-62,-69,-85,-83,1
32,-66,-55,-63,-65,-68,-85,-90,1
35,-64,-57,-62,-67,-68,-83,-84,1
36,-68,-63,-68,-64,-74,-86,-84,1
37,-70,-62,-68,-65,-81,-89,-83,1
38,-67,-59,-62,-66,-80,-96,-82,1
39,-66,-59,-64,-67,-77,-87,-85,1
41,-67,-59,-62,-65,-71,-91,-84,1
44,-66,-62,-64,-68,-73,-89,-83,1
46,-65,-58,-62,-67,-77,-86,-91,1
47,-65,-58,-64,-69,-81,-88,-90,1
49,-64,-59,-65,-70,-84,-90,-89,1
50,-64,-56,-64,-70,-80,-91,-84,1
51,-68,-57,-64,-68,-77,-88,-85,1
52,-67,-56,-65,-68,-82,-96,-89,1
54,-68,-57,-62,-68,-77,-91,-86,1
55,-62,-58,-61,-68,-70,-85,-86,1
56,-63,-58,-66,-68,-75,-90,-93,1
57,-62,-58,-57,-65,-70,-82,-91,1
58,-64,-51,-57,-67,-68,-84,-82,1
59,-62,-56,-61,-67,-67,-81,-85,1
61,-64,-54,-58,-69,-65,-86,-86,1
62,-62,-52,-61,-66,-65,-85,-89,1
64,-58,-54,-61,-66,-75,-87,-86,1
65,-63,-55,-63,-68,-77,-87,-89,1
66,-64,-56,-64,-65,-75,-85,-90,1
67,-64,-56,-64,-67,-77,-81,-85,1
69,-63,-61,-61,-68,-72,-87,-92,1
70,-59,-55,-62,-64,-68,-77,-86,1
71,-64,-57,-62,-68,-71,-85,-85,1
73,-63,-59,-58,-64,-74,-82,-90,1
74,-66,-57,-57,-64,-69,-84,-90,1
75,-59,-60,-57,-62,-67,-80,-84,1
76,-60,-57,-55,-66,-69,-82,-89,1
77,-61,-55,-63,-64,-69,-83,-82,1
78,-61,-60,-57,-61,-74,-81,-82,1
79,-65,-60,-60,-62,-75,-83,-79,1
80,-65,-56,-65,-63,-68,-82,-93,1
81,-63,-60,-69,-65,-71,-85,-86,1
83,-65,-60,-62,-63,-75,-85,-82,1
85,-67,-56,-62,-70,-69,-86,-84,1
86,-67,-61,-63,-64,-71,-85,-84,1
87,-71,-62,-65,-68,-83,-85,-86,1
88,-68,-64,-66,-73,-81,-86,-83,1
90,-70,-64,-63,-69,-83,-85,-87,1
91,-72,-63,-64,-70,-81,-85,-87,1
92,-73,-62,-66,-65,-81,-87,-89,1
94,-73,-63,-65,-70,-80,-89,-93,1
95,-74,-62,-66,-70,-76,-89,-87,1
96,-71,-62,-63,-69,-75,-85,-87,1
97,-71,-64,-64,-70,-78,-88,-94,1
98,-70,-64,-66,-73,-78,-87,-94,1
99,-72,-62,-63,-76,-81,-84,-91,1
100,-72,-59,-65,-75,-81,-84,-91,1
102,-57,-58,-65,-62,-77,-80,-87,1
103,-63,-55,-62,-66,-76,-89,-85,1
105,-60,-57,-60,-66,-76,-82,-80,1
106,-64,-58,-59,-61,-70,-84,-86,1
107,-62,-55,-57,-62,-70,-82,-86,1
109,-61,-56,-53,-62,-63,-84,-91,1
110,-65,-56,-55,-65,-68,-85,-93,1
111,-65,-55,-55,-67,-63,-82,-89,1
113,-65,-59,-65,-63,-68,-80,-83,1
114,-63,-58,-62,-71,-74,-92,-94,1
115,-63,-59,-61,-62,-78,-90,-82,1
116,-65,-60,-67,-66,-68,-84,-89,1
118,-65,-58,-70,-66,-71,-85,-83,1
119,-65,-59,-65,-67,-89,-85,-83,1
120,-63,-58,-64,-66,-70,-81,-91,1
122,-59,-54,-59,-59,-67,-86,-80,1
124,-61,-51,-58,-62,-71,-80,-84,1
125,-59,-54,-56,-62,-67,-81,-82,1
126,-58,-54,-58,-62,-75,-81,-81,1
127,-57,-53,-59,-64,-71,-80,-79,1
129,-62,-54,-56,-64,-75,-88,-85,1
131,-62,-58,-57,-65,-68,-83,-79,1
133,-63,-48,-51,-59,-69,-77,-82,1
134,-63,-51,-50,-63,-67,-83,-79,1
135,-61,-53,-54,-58,-71,-82,-86,1
136,-56,-53,-58,-64,-71,-84,-87,1
137,-58,-54,-62,-66,-76,-83,-86,1
138,-62,-60,-64,-74,-76,-81,-91,1
139,-64,-59,-68,-67,-74,-82,-82,1
140,-66,-59,-70,-69,-76,-87,-89,1
141,-64,-59,-65,-64,-74,-88,-90,1
142,-64,-54,-65,-63,-71,-85,-89,1
144,-62,-56,-64,-69,-75,-81,-84,1
146,-63,-58,-65,-66,-73,-86,-89,1
147,-65,-60,-65,-66,-73,-84,-93,1
148,-63,-58,-64,-67,-74,-87,-87,1
149,-64,-59,-66,-63,-74,-87,-87,1
150,-64,-54,-56,-65,-74,-85,-87,1
151,-62,-55,-63,-61,-68,-81,-83,1
152,-60,-54,-57,-66,-64,-81,-83,1
153,-59,-55,-65,-62,-62,-81,-77,1
154,-63,-52,-56,-59,-66,-80,-80,1
155,-60,-59,-58,-63,-72,-82,-79,1
156,-62,-55,-61,-60,-63,-84,-80,1
157,-62,-51,-58,-61,-63,-77,-80,1
158,-56,-50,-56,-62,-61,-79,-85,1
159,-62,-51,-53,-60,-67,-78,-85,1
160,-58,-55,-58,-61,-67,-78,-80,1
161,-60,-53,-60,-62,-73,-81,-82,1
162,-60,-53,-59,-64,-70,-80,-90,1
164,-59,-54,-59,-64,-74,-80,-81,1
165,-62,-55,-58,-68,-69,-83,-88,1
166,-62,-58,-59,-66,-68,-87,-88,1
168,-56,-47,-56,-61,-67,-78,-88,1
170,-62,-51,-61,-71,-67,-79,-80,1
171,-58,-54,-58,-58,-67,-84,-88,1
172,-57,-54,-56,-56,-68,-79,-82,1
173,-56,-54,-58,-62,-68,-77,-81,1
174,-60,-58,-62,-61,-62,-81,-84,1
175,-60,-55,-58,-57,-75,-74,-82,1
177,-58,-55,-59,-58,-72,-77,-81,1
178,-59,-49,-53,-59,-62,-81,-83,1
179,-60,-52,-51,-59,-73,-79,-81,1
180,-57,-56,-56,-61,-70,-77,-77,1
181,-57,-57,-59,-61,-67,-80,-83,1
182,-62,-50,-61,-64,-73,-80,-81,1
183,-62,-54,-62,-68,-80,-80,-78,1
184,-63,-57,-63,-64,-73,-86,-81,1
185,-62,-57,-54,-66,-71,-81,-83,1
186,-61,-55,-59,-58,-66,-79,-78,1
187,-60,-59,-56,-63,-64,-82,-81,1
188,-56,-53,-64,-61,-72,-84,-81,1
189,-57,-53,-56,-58,-68,-75,-80,1
190,-60,-55,-60,-59,-67,-81,-87,1
191,-62,-56,-57,-63,-69,-87,-91,1
193,-63,-56,-61,-61,-68,-83,-87,1
194,-64,-57,-63,-59,-69,-82,-86,1
195,-64,-61,-62,-65,-70,-85,-87,1
196,-61,-58,-60,-61,-74,-78,-83,1
197,-65,-56,-63,-66,-80,-83,-88,1
198,-62,-56,-63,-66,-74,-82,-80,1
199,-62,-49,-59,-63,-62,-80,-79,1
201,-62,-52,-57,-60,-70,-81,-74,1
202,-65,-53,-53,-57,-64,-87,-80,1
203,-59,-51,-58,-57,-64,-76,-85,1
204,-57,-54,-59,-63,-65,-80,-80,1
205,-62,-50,-57,-59,-72,-82,-84,1
206,-56,-51,-62,-62,-71,-77,-82,1
207,-57,-56,-58,-58,-66,-85,-80,1
208,-58,-54,-61,-59,-68,-78,-76,1
