cpu_load,ram_usage
1.29,290.0
2.66,332.0
0.88,372.0
2.57,362.0
2.44,480.0
4.03,422.0
2.98,466.0
1.49,357.0
2.56,419.0
2.05,361.0
1.92,490.0
2.21,332.0
2.61,384.0
2.15,591.0
2.1,387.0
1.22,377.0
3.24,473.0
2.63,492.0
1.95,461.0
1.75,360.0
1.17,292.0
1.66,263.0
1.46,383.0
1.98,337.0
1.31,285.0
0.84,269.0
1.59,328.0
3.34,459.0
2.07,538.0
2.19,352.0
1.77,422.0
1.93,456.0
1.87,371.0
2.79,346.0
1.82,301.0
1.98,275.0
2.1,453.0
1.85,332.0
3.03,439.0
1.03,361.0
2.99,488.0
2.6,373.0
3.12,596.0
2.69,417.0
1.36,397.0
3.92,505.0
0.68,363.0
3.06,476.0
3.16,373.0
2.53,552.0
1.43,381.0
1.77,332.0
1.23,455.0
1.58,346.0
1.57,469.0
1.66,299.0
4.53,415.0
1.11,399.0
2.64,347.0
2.0,533.0
2.46,426.0
2.69,491.0
2.43,368.0
1.96,476.0
3.4,395.0
2.11,586.0
2.55,337.0
2.55,413.0
2.68,283.0
1.49,438.0
1.09,376.0
3.4,479.0
2.94,379.0
1.87,358.0
2.15,310.0
2.12,300.0
2.42,318.0
1.87,345.0
2.68,383.0
1.25,364.0
1.39,260.0
2.13,360.0
3.65,652.0
2.73,355.0
1.76,465.0
1.86,375.0
0.82,324.0
1.83,433.0
2.88,466.0
1.36,372.0
1.73,293.0
3.09,409.0
2.98,369.0
1.75,330.0
1.5,384.0
1.43,372.0
1.56,441.0
1.71,351.0
1.13,339.0
1.18,461.0
3.79,488.0
1.65,270.0
2.13,375.0
1.36,390.0
3.08,527.0
3.23,483.0
2.09,377.0
1.55,451.0
2.0,397.0
2.0,468.0
1.68,374.0
1.47,374.0
2.59,424.0
1.66,498.0
2.64,542.0
1.71,378.0
1.44,360.0
1.41,368.0
2.19,351.0
2.09,421.0
1.95,303.0
4.3,551.0
4.06,581.0
3.19,574.0
3.69,504.0
1.28,313.0
1.86,362.0
2.24,323.0
2.94,361.0
1.64,299.0
1.3,350.0
2.86,438.0
2.52,440.0
2.11,494.0
1.94,372.0
1.82,365.0
2.45,468.0
0.41,233.0
2.11,368.0
1.45,342.0
1.43,329.0
1.65,381.0
2.72,354.0
2.22,367.0
1.66,321.0
3.08,521.0
1.2,375.0
2.35,372.0
3.22,476.0
2.68,326.0
2.34,355.0
1.24,303.0
1.19,365.0
2.66,451.0
2.13,316.0
1.0,335.0
1.33,415.0
1.95,358.0
2.98,357.0
2.2,319.0
1.7,375.0
1.78,364.0
3.72,537.0
1.1,356.0
3.84,434.0
1.22,471.0
2.92,263.0
2.09,365.0
1.47,395.0
1.37,357.0
2.56,480.0
2.5,469.0
1.89,441.0
3.48,489.0
1.81,336.0
1.1,271.0
1.2,298.0
1.14,338.0
1.72,290.0
1.9,347.0
1.71,371.0
2.1,500.0
2.62,354.0
1.11,394.0
2.94,369.0
1.94,322.0
2.3,383.0
2.07,378.0
3.08,387.0
1.85,356.0
2.42,419.0
2.75,472.0
0.82,263.0
0.84,320.0
1.73,504.0
3.47,553.0
3.26,387.0
2.0,363.0
2.05,318.0
2.28,315.0
1.5,487.0
2.13,371.0
2.75,446.0
1.57,484.0
2.97,310.0
1.87,469.0
2.3,491.0
2.39,344.0
3.82,473.0
3.3,277.0
3.33,555.0
1.56,383.0
1.72,372.0
2.84,581.0
1.86,380.0
2.26,372.0
2.19,303.0
1.23,298.0
1.48,531.0
2.81,473.0
1.63,366.0
2.84,529.0
2.31,295.0
3.35,479.0
1.61,293.0
1.76,365.0
1.44,417.0
1.52,371.0
2.42,468.0
1.68,335.0
1.45,383.0
6.21,549.0
1.59,348.0
1.3,329.0
0.67,378.0
3.16,340.0
1.04,377.0
2.53,278.0
2.51,261.0
1.47,352.0
1.94,338.0
1.29,317.0
